iter	Logloss
0	0.6882214735
1	0.6842740953
2	0.6805147515
3	0.678025168
4	0.6733179038
5	0.6706014448
6	0.6693415084
7	0.6632348491
8	0.6629216686
9	0.6612204624
10	0.6606094413
11	0.6563210159
12	0.6559373323
13	0.6522807328
14	0.6520420394
15	0.6511117631
16	0.650962188
17	0.6502972467
18	0.6478759063
19	0.6477452236
20	0.6472658404
21	0.6458301489
22	0.6457985499
23	0.6453697111
24	0.6453306798
25	0.6452511643
26	0.6419986467
27	0.6419797947
28	0.6373662192
29	0.6352602808
30	0.6332366647
31	0.6284833641
32	0.6271877151
33	0.6240966851
34	0.6185281226
35	0.6183925448
36	0.6183906663
37	0.6175647721
38	0.61700729
39	0.6167151481
40	0.6137783231
41	0.6120301179
42	0.6115004377
43	0.6112415612
44	0.6100079298
45	0.6095172944
46	0.6089628189
47	0.6057898371
48	0.6054913163
49	0.6044726722
50	0.6039404371
51	0.6039382924
52	0.6032221746
53	0.6020632906
54	0.6009979231
55	0.5989761085
56	0.5979594049
57	0.5960707586
58	0.5954345963
59	0.5931934184
60	0.5902948874
61	0.5872193193
62	0.5817835319
63	0.5778017856
64	0.5738160238
65	0.572993028
66	0.5728695783
67	0.5713935949
68	0.570865876
69	0.5677506236
70	0.5638699016
71	0.5610168644
72	0.5579052103
73	0.5571527758
74	0.5547427111
75	0.5520615616
76	0.549673713
77	0.5463224687
78	0.5424730817
79	0.539960442
80	0.5375749248
81	0.5346496614
82	0.5329196677
83	0.5308771915
84	0.5249544449
85	0.5193238658
86	0.5153973779
87	0.5106635577
88	0.5083265165
89	0.5054260838
90	0.5011524291
91	0.4997148334
92	0.4928576935
93	0.4893043904
94	0.4883488606
95	0.4858474752
96	0.4795213761
97	0.476844947
98	0.4729139601
99	0.4704760104
100	0.4682968428
101	0.4634900523
102	0.4598029103
103	0.4576418745
104	0.4541050691
105	0.4463274822
106	0.4416836677
107	0.4375531747
108	0.4366584078
109	0.4349639665
110	0.4296986247
111	0.4267274275
112	0.4203144946
113	0.4162307828
114	0.4120598348
115	0.409938085
116	0.4067025717
117	0.4013069286
118	0.3988086223
119	0.3925606638
120	0.3884273351
121	0.386249326
122	0.3812472532
123	0.3770048936
124	0.3745805807
125	0.370375721
126	0.3670733891
127	0.3650784145
128	0.363470221
129	0.3591261421
130	0.3586835211
131	0.3571335503
132	0.3531142546
133	0.3494802259
134	0.347280464
135	0.3442717373
136	0.3420477237
137	0.3378614564
138	0.3345751175
139	0.3312247089
140	0.3277840514
141	0.3265778568
142	0.3229633291
143	0.3214855468
144	0.3199039232
145	0.3183544139
146	0.3157585716
147	0.3123651519
148	0.3097985063
149	0.3082916157
150	0.3055002684
151	0.3042261757
152	0.301477418
153	0.2979392594
154	0.2967059583
155	0.2925708553
156	0.2915814731
157	0.2900566356
158	0.2877761013
159	0.2862512649
160	0.2832495434
161	0.2818762344
162	0.2803869896
163	0.2790137653
164	0.2770253956
165	0.2756933974
166	0.2747930397
167	0.2722665981
168	0.2691266386
169	0.2661553946
170	0.2647083298
171	0.2626703971
172	0.2616135585
173	0.2605222699
174	0.2591573417
175	0.2581303674
176	0.2564866581
177	0.2546040455
178	0.2526491789
179	0.2513743784
180	0.2495030822
181	0.2478976036
182	0.2476525675
183	0.2472184292
184	0.2463115113
185	0.2433729537
186	0.2424816964
187	0.2396404103
188	0.2369770179
189	0.2360053137
190	0.2338418163
191	0.2303036198
192	0.2288133727
193	0.2268655121
194	0.2248343435
195	0.2230126734
196	0.2221804965
197	0.2202462403
198	0.218605826
199	0.2170857556
200	0.2161807128
201	0.2139768261
202	0.2132232956
203	0.2118259838
204	0.2107361122
205	0.2086015833
206	0.2069965077
207	0.2061317437
208	0.205081772
209	0.202838514
210	0.2017665483
211	0.2008150144
212	0.1992905065
213	0.1975258536
214	0.1969950914
215	0.1961307633
216	0.1948141098
217	0.193503802
218	0.1923282004
219	0.1915940525
220	0.1906290806
221	0.1889071534
222	0.1878028442
223	0.1867095152
224	0.1855269652
225	0.1839069237
226	0.1818409869
227	0.1812930038
228	0.1787894836
229	0.1774840799
230	0.1758210478
231	0.1744606246
232	0.1729899011
233	0.1721881407
234	0.1720057287
235	0.1713009493
236	0.1691068372
237	0.168729979
238	0.167232805
239	0.1664547675
240	0.1656380199
241	0.1636149376
242	0.1633184705
243	0.1624113968
244	0.1615913741
245	0.1614058042
246	0.1607555711
247	0.1599396797
248	0.1592063483
249	0.1584136302
250	0.1577832285
251	0.1566955284
252	0.1556747958
253	0.1543268952
254	0.1538763128
255	0.1530943863
256	0.152440737
257	0.1514243795
258	0.1507837787
259	0.1504726088
260	0.1500114145
261	0.1493256998
262	0.1486925353
263	0.1479213361
264	0.1472027016
265	0.1464863965
266	0.1452016224
267	0.1448329618
268	0.1433264893
269	0.1432553378
270	0.1426371707
271	0.1418845134
272	0.1413627729
273	0.1404654948
274	0.1396153404
275	0.1384340507
276	0.1374917602
277	0.1372594578
278	0.1370638832
