iter	Logloss
279	0.1366473392
280	0.1358504072
281	0.1357822312
282	0.1349116067
283	0.1345899537
284	0.1338483351
285	0.1329258791
286	0.1320219394
287	0.1315232069
288	0.1308709841
289	0.1300686529
290	0.1299319672
291	0.1295970759
292	0.1287393099
293	0.1279705111
294	0.127567623
295	0.1269277328
296	0.1259999427
297	0.1259191964
298	0.1251386398
299	0.1245694741
300	0.1236775255
301	0.1231091859
302	0.1225970459
303	0.1219820697
304	0.1218314102
305	0.1210097957
306	0.1208510898
307	0.1201660279
308	0.1195101826
309	0.1191656321
310	0.1185600582
311	0.1175866436
312	0.1167563763
313	0.1159994162
314	0.1153111175
315	0.1148378642
316	0.1144574665
317	0.1135322151
318	0.1130133337
319	0.1124995721
320	0.1124543111
321	0.1118445506
322	0.1114736145
323	0.1111576684
324	0.1107411288
325	0.1105875094
326	0.1094724198
327	0.1094034464
328	0.1092256776
329	0.108988121
330	0.1085690773
331	0.1081802554
332	0.1078195014
333	0.1067533251
334	0.1065488025
335	0.1061469775
336	0.1058480223
337	0.1052744288
338	0.1046519336
339	0.1038625037
340	0.1034670639
341	0.1031680352
342	0.102744906
343	0.1025788522
344	0.1021828934
345	0.1016725864
346	0.1011873444
347	0.1010841895
348	0.1006795886
349	0.1004212389
350	0.09946797464
351	0.09855378651
352	0.09800649741
353	0.09756018405
354	0.09693106121
355	0.09672825029
356	0.09646045872
357	0.09592488871
358	0.09591898971
359	0.09573619016
360	0.09553328827
361	0.09475061902
362	0.094151296
363	0.09362140696
364	0.09358975474
365	0.09320873856
366	0.09276329665
367	0.09200874474
368	0.09152263628
369	0.09102735377
370	0.09081884801
371	0.08978214279
372	0.08964965307
373	0.08926122048
374	0.0888961052
375	0.08842962007
376	0.08809172847
377	0.08785848299
378	0.08741868306
379	0.08698320431
380	0.08668221906
381	0.08627620393
382	0.08611222666
383	0.08572587031
384	0.08542432862
385	0.08503352647
386	0.08439094915
387	0.08423080923
388	0.08383231631
389	0.08363395304
390	0.08299345239
391	0.08270424498
392	0.08258102815
393	0.08227257546
394	0.08203151276
395	0.08162198673
396	0.0811616272
397	0.08059235291
398	0.08016441262
399	0.08003626833
400	0.07961001955
401	0.07935832638
402	0.07913666254
403	0.07873563235
404	0.07827617573
405	0.07750970333
406	0.07714752833
407	0.07685661417
408	0.07603419073
409	0.07578482078
410	0.07556348364
411	0.07526999927
412	0.07492236468
413	0.07480352538
414	0.07470816395
415	0.07433515566
416	0.07420886779
417	0.0741381276
418	0.07403693306
419	0.07354124598
420	0.07346022528
421	0.07331214161
422	0.07326772135
423	0.07287569514
424	0.07283646405
425	0.07253433063
426	0.07229382197
427	0.07227486545
428	0.07202646343
429	0.07170936299
430	0.07137425667
431	0.0708500654
432	0.0705336199
433	0.07033797744
434	0.07018104856
435	0.06992828585
436	0.06991305905
437	0.06967901428
438	0.06934358345
439	0.06906763487
440	0.06892130573
441	0.06888220328
442	0.06878873542
443	0.06854239653
444	0.0683123014
445	0.06803265883
446	0.06775939678
447	0.06739048875
448	0.06735418287
449	0.06682544325
450	0.06626591085
451	0.06600388156
452	0.06551959663
453	0.06509269129
454	0.06499747548
455	0.06474849122
456	0.06445446885
457	0.06409471446
458	0.06386815725
459	0.06381399856
460	0.06352549699
461	0.06348102075
462	0.06310196311
463	0.06299326895
464	0.06298283573
465	0.06261406882
466	0.06242124036
467	0.06225232116
468	0.06178838382
469	0.06147055268
470	0.06111472215
471	0.06078026611
472	0.06072778447
473	0.06056345679
474	0.0604076757
475	0.06015071622
476	0.06008007496
477	0.05989758036
478	0.059543927
479	0.05939462004
480	0.05936974785
481	0.05935261172
482	0.05919634977
483	0.05890154077
484	0.0587859799
485	0.05877810503
486	0.0587507966
487	0.05862317958
488	0.05851712335
489	0.05847605767
490	0.05829923261
491	0.05793817821
492	0.05778951865
493	0.0576846115
494	0.05757850507
495	0.0572788566
496	0.05714788361
497	0.05696925144
498	0.05671254459
499	0.0564280156
